"","state","state_iso","date","dts","bsn","exposure","excess","pscore"
"1","Acre","AC",2020-01-05,37,72.3367921243271,16558.4473235752,-35.3367921243271,0.511496278911665
"2","Acre","AC",2020-01-05,60,72.3656703868977,16558.4473235752,-12.3656703868977,0.829122423370286
"3","Acre","AC",2020-01-12,82,73.4039441908854,16562.9327323754,8.59605580911465,1.11710618419578
"4","Acre","AC",2020-01-19,81,75.473664069067,16567.4148795786,5.52633593093299,1.07322204373006
"5","Acre","AC",2020-01-26,90,78.184374107408,16571.8936948557,11.815625892592,1.15112515803171
"6","Acre","AC",2020-02-02,80,81.1058619617357,16576.3691078778,-1.10586196173573,0.986365203020006
"7","Acre","AC",2020-02-09,89,83.7435823849299,16580.8410483158,5.25641761507006,1.06276800520557
"8","Acre","AC",2020-02-16,89,85.6036991849423,16585.3094458406,3.39630081505767,1.03967469685767
"9","Acre","AC",2020-02-23,72,86.6325695504168,16589.7742301233,-14.6325695504168,0.831096207507718
"10","Acre","AC",2020-03-01,74,87.0098394174336,16594.2353308347,-13.0098394174336,0.850478526284616
"11","Acre","AC",2020-03-08,87,86.938034101215,16598.6926776458,0.0619658987849903,1.00071275937426
"12","Acre","AC",2020-03-15,85,86.6286028781588,16603.1462002277,-1.62860287815876,0.981200171490133
"13","Acre","AC",2020-03-22,86,86.2860688525241,16607.5958282512,-0.286068852524139,0.996684646127371
"14","Acre","AC",2020-03-29,78,85.9999305742839,16612.0414913873,-7.99993057428391,0.906977476366986
"15","Acre","AC",2020-04-05,67,85.7722374639376,16616.483119307,-18.7722374639376,0.781138535976396
"16","Acre","AC",2020-04-12,81,85.6029112823664,16620.9206416812,-4.60291128236645,0.946229500686215
"17","Acre","AC",2020-04-19,92,85.4919894255856,16625.353988181,6.50801057441444,1.07612421489009
"18","Acre","AC",2020-04-26,82,85.4390982991429,16629.7830884772,-3.43909829914294,0.95974795652569
"19","Acre","AC",2020-05-03,105,85.423456087813,16634.2078722408,19.576543912187,1.22917059094475
"20","Acre","AC",2020-05-10,93,85.3977097007275,16638.6282691428,7.60229029927245,1.08902218017221
"21","Acre","AC",2020-05-17,106,85.3128021320635,16643.0442088542,20.6871978679365,1.2424864422565
"22","Acre","AC",2020-05-24,161,85.1199546084078,16647.4556210458,75.8800453915922,1.89144837706595
"23","Acre","AC",2020-05-31,154,84.7713320647382,16651.8624353887,69.2286679352618,1.81665188276614
"24","Acre","AC",2020-06-07,132,84.2600491876287,16656.2645815539,47.7399508123713,1.56657871995855
"25","Acre","AC",2020-06-14,152,83.6677076525604,16660.6619892122,68.3322923474396,1.81671046410399
"26","Acre","AC",2020-06-21,129,83.0858895698975,16665.0545880347,45.9141104301025,1.55261020454594
"27","Acre","AC",2020-06-28,113,82.6037379843744,16669.4423076923,30.3962620156256,1.36797683443061
"28","Acre","AC",2020-07-05,113,82.3085461948718,16673.825104912,30.6914538051282,1.37288295352057
"29","Acre","AC",2020-07-12,116,82.2599176722359,16678.2030446452,33.7400823277641,1.41016430945386
"30","Acre","AC",2020-07-19,105,82.4094677713217,16682.5762188991,22.5905322286783,1.27412544747122
"31","Acre","AC",2020-07-26,96,82.6826444339047,16686.944719681,13.3173555660953,1.16106591240851
"32","Acre","AC",2020-08-02,100,83.0047465884295,16691.3086389984,16.9952534115705,1.20475038006971
"33","Acre","AC",2020-08-09,98,83.3001396915809,16695.6680688586,14.6998603084191,1.176468615333
"34","Acre","AC",2020-08-16,95,83.4990326879328,16700.0231012688,11.5009673120672,1.13773773110703
"35","Acre","AC",2020-08-23,92,83.5820689064989,16704.3738282365,8.41793109350107,1.10071455760347
"36","Acre","AC",2020-08-30,77,83.5530449478926,16708.7203417689,-6.55304494789259,0.92157024376575
"37","Acre","AC",2020-09-06,84,83.4163208366809,16713.0627338735,0.583679163319132,1.00699718181604
"38","Acre","AC",2020-09-13,90,83.1766562803038,16717.4010965574,6.82334371969615,1.0820343594566
"39","Acre","AC",2020-09-20,85,82.8420674669617,16721.7355218282,2.15793253303832,1.02604875275353
"40","Acre","AC",2020-09-27,78,82.4641831803179,16726.0661016931,-4.46418318031789,0.945865186458509
"41","Acre","AC",2020-10-04,68,82.1271232195318,16730.3929281594,-14.1271232195318,0.827984681969573
"42","Acre","AC",2020-10-11,105,81.9145511952138,16734.7160932345,23.0854488047862,1.28182354011524
"43","Acre","AC",2020-10-18,77,81.9096516888271,16739.0356889258,-4.90965168882713,0.940060156677521
