"","dpto","date","isoweek","dts","bsn","exposure","excess","pscore"
"1","Amazonas",2020-01-05,"2020-W01-7",6.07053197848177,4.70391830251441,1506.95701652382,1.29052666055804,1.29052666055804
"2","Amazonas",2020-01-12,"2020-W02-7",7.06044176706827,4.59077818889343,1507.42930024919,1.53796186105218,1.53796186105218
"3","Amazonas",2020-01-19,"2020-W03-7",8.07889870556811,4.46365031108856,1507.90296449959,1.80993091808706,1.80993091808706
"4","Amazonas",2020-01-26,"2020-W04-7",7.0532206969377,4.33848814273192,1508.37798247526,1.62573238992335,1.62573238992335
"5","Amazonas",2020-02-02,"2020-W05-7",5.03913894324853,4.22958876252598,1508.85432737642,1.19140162937237,1.19140162937237
"6","Amazonas",2020-02-09,"2020-W06-7",5.03825717321998,4.14988853141337,1509.33197240329,1.2140704828773,1.2140704828773
"7","Amazonas",2020-02-16,"2020-W07-7",5.05150214592275,4.11026264686135,1509.81089075612,1.22899740963759,1.22899740963759
"8","Amazonas",2020-02-23,"2020-W08-7",2.0236660929432,4.11149216787511,1510.29105563513,0.492197482158665,0.492197482158665
"9","Amazonas",2020-03-01,"2020-W09-7",1.00776225327124,4.15076865147329,1510.77244024055,0.242789309135197,0.242789309135197
"10","Amazonas",2020-03-08,"2020-W10-7",8.06561737973842,4.2262659058646,1511.25501777261,1.9084500500894,1.9084500500894
"11","Amazonas",2020-03-15,"2020-W11-7",6.04190132912818,4.33694984260969,1511.73876143153,1.39312225144217,1.39312225144217
"12","Amazonas",2020-03-22,"2020-W12-7",6.0482358195623,4.48154729293556,1512.22364441755,1.34958652095368,1.34958652095368
"13","Amazonas",2020-03-29,"2020-W13-7",3.02294322132097,4.64576380802798,1512.7096399309,0.650688099144701,0.650688099144701
"14","Amazonas",2020-04-05,"2020-W14-7",6.03596259889715,4.80265420844446,1513.1967211718,1.25679724938018,1.25679724938018
"15","Amazonas",2020-04-12,"2020-W15-7",3.01483749411211,4.92136249741533,1513.68486134049,0.612602200243424,0.612602200243424
"16","Amazonas",2020-04-19,"2020-W16-7",7.02741935483871,4.96882878702832,1514.17403363719,1.41430096629302,1.41430096629302
"17","Amazonas",2020-04-26,"2020-W17-7",5.02780996523754,4.91392444839349,1514.66421126213,1.02317608218036,1.02317608218036
"18","Amazonas",2020-05-03,"2020-W18-7",18.1059571462209,4.75597603861905,1515.15536741555,3.8069908256893,3.8069908256893
"19","Amazonas",2020-05-10,"2020-W19-7",30.2501126633619,4.53067851994337,1515.64747529767,6.67672899990706,6.67672899990706
"20","Amazonas",2020-05-17,"2020-W20-7",24.1579986833443,4.27430023750905,1516.14050810872,5.65191899046917,5.65191899046917
"21","Amazonas",2020-05-24,"2020-W21-7",18.1153846153846,4.01800776672283,1516.63443904893,4.50854892950092,4.50854892950092
"22","Amazonas",2020-05-31,"2020-W22-7",12.0660597078128,3.78673147702571,1517.12924131853,3.1864048932485,3.1864048932485
"23","Amazonas",2020-06-07,"2020-W23-7",17.1226599063963,3.59680629952122,1517.62488811774,4.76051765942344,4.76051765942344
"24","Amazonas",2020-06-14,"2020-W24-7",5.02251829611559,3.45482875766032,1518.12135264681,1.45376765345584,1.45376765345584
"25","Amazonas",2020-06-21,"2020-W25-7",13.040512465374,3.36618827385979,1518.61860810595,3.87397002319815,3.87397002319815
"26","Amazonas",2020-06-28,"2020-W26-7",11.0449713818479,3.33732226907095,1519.1166276954,3.30953096265487,3.30953096265487
"27","Amazonas",2020-07-05,"2020-W27-7",6.0298987301077,3.37715677916046,1519.61538461538,1.7854956474975,1.7854956474975
"28","Amazonas",2020-07-12,"2020-W28-7",12.0588760035682,3.49219459180758,1520.11485866948,3.45309394609838,3.45309394609838
"29","Amazonas",2020-07-19,"2020-W29-7",14.0421225382932,3.66574240267565,1520.61505607463,3.83063537908277,3.83063537908277
"30","Amazonas",2020-07-26,"2020-W30-7",12.0514352513313,3.87274803503983,1521.11598965113,3.11185626906074,3.11185626906074
"31","Amazonas",2020-08-02,"2020-W31-7",6.02754684203996,4.08270338867897,1521.61767221926,1.47636168200558,1.47636168200558
"32","Amazonas",2020-08-09,"2020-W32-7",12.0426450057114,4.25819161770492,1522.12011659933,2.82811251509676,2.82811251509676
"33","Amazonas",2020-08-16,"2020-W33-7",3.0074568288854,4.36143192481982,1522.62333561162,0.689557209816967,0.689557209816967
"34","Amazonas",2020-08-23,"2020-W34-7",3.01049244543928,4.39171741254461,1523.12734207642,0.685493205195771,0.685493205195771
"35","Amazonas",2020-08-30,"2020-W35-7",6.02118893466745,4.36890897048391,1523.63214881403,1.37819052201505,1.37819052201505
"36","Amazonas",2020-09-06,"2020-W36-7",8.03410994365768,4.31503842762576,1524.13776864473,1.86188607086826,1.86188607086826
"37","Amazonas",2020-09-13,"2020-W37-7",8.04019469304443,4.2521555819367,1524.64421438882,1.89085148417416,1.89085148417416
"38","Amazonas",2020-09-20,"2020-W38-7",5.03293701799486,4.20065825978335,1525.1514988666,1.19813055638914,1.19813055638914
"39","Amazonas",2020-09-27,"2020-W39-7",4.01756383151732,4.17013750664949,1525.65963489834,0.963412795168294,0.963412795168294
"40","Amazonas",2020-10-04,"2020-W40-7",7.03498833722093,4.1625220881203,1526.16863530434,1.69007831989614,1.69007831989614
"41","Amazonas",2020-10-11,"2020-W41-7",13.059110100682,4.17988002691671,1526.6785129049,3.12427869139467,3.12427869139467
"42","Amazonas",2020-10-18,"2020-W42-7",4.01617076326003,4.22474121322214,1527.1892805203,0.950631189122459,0.950631189122459
"43","Amazonas",2020-10-25,"2020-W43-7",5.03346080305927,4.30008930710041,1527.70095097083,1.17054796856147,1.17054796856147
"44","Amazonas",2020-11-01,"2020-W44-7",8.03685422836459,4.40341760544393,1528.2135370768,1.8251401407917,1.8251401407917
"45","Amazonas",2020-11-08,"2020-W45-7",9.05042420361774,4.52406018661798,1528.72705165848,2.00050923955181,2.00050923955181
"46","Amazonas",2020-11-15,"2020-W46-7",7.03435863874346,4.64975832106606,1529.24150753618,1.51284392715075,1.51284392715075
"47","Amazonas",2020-11-22,"2020-W47-7",2.01416384999195,4.76686990548135,1529.75691753017,0.422533840849295,0.422533840849295
"48","Amazonas",2020-11-29,"2020-W48-7",2.01476251604621,4.86044791838588,1530.27329446076,0.414521984367914,0.414521984367914
"49","Amazonas",2020-12-06,"2020-W49-7",3.01696558410082,4.91893111269111,1530.79065114823,0.613337636771714,0.613337636771714
"50","Amazonas",2020-12-13,"2020-W50-7",4.01508295625943,4.94035865778921,1531.30900041288,0.812710824127931,0.812710824127931
"51","Amazonas",2020-12-20,"2020-W51-7",5.02021866107533,4.92485802149053,1531.828355075,1.01936312461571,1.01936312461571
"52","Amazonas",2020-12-27,"2020-W52-7",2.01199274857063,4.87338424107139,1532.34872795488,0.412853296404206,0.412853296404206
"53","Amazonas",2021-01-03,"2020-W53-7",5.01924557351809,4.78766224224534,1532.8701318728,1.04837085816733,1.04837085816733
"54","Amazonas",2021-01-10,"2021-W01-7",10.0402667673336,4.78934899736398,1533.39257964907,2.09637401092709,2.09637401092709
"55","Amazonas",2021-01-17,"2021-W02-7",9.03842960502906,4.6742849156252,1533.91608410397,1.93364969576745,1.93364969576745
"56","Amazonas",2021-01-24,"2021-W03-7",12.0439612384779,4.54497071026807,1534.4406580578,2.64995354343384,2.64995354343384
"57","Amazonas",2021-01-31,"2021-W04-7",11.0618705035971,4.41764996992766,1534.96631433084,2.50401697257564,2.50401697257564
"58","Amazonas",2021-02-07,"2021-W05-7",8.05022114424312,4.30688140016302,1535.49306574339,1.86915319839975,1.86915319839975
"59","Amazonas",2021-02-14,"2021-W06-7",11.08190747782,4.22583965342125,1536.02092511573,2.62241551660581,2.62241551660581
"60","Amazonas",2021-02-21,"2021-W07-7",17.095246179966,4.18560183838209,1536.54990526817,4.08429822999458,4.08429822999458
"61","Amazonas",2021-02-28,"2021-W08-7",22.0990634005764,4.18696679125498,1537.08001902099,5.2780603483011,5.2780603483011
"62","Amazonas",2021-03-07,"2021-W09-7",28.2176428054953,4.22707791313923,1537.61127919448,6.67544894731773,6.67544894731773
"63","Amazonas",2021-03-14,"2021-W10-7",14.0871698113208,4.30407861674838,1538.14369860894,3.27298152884653,3.27298152884653
"64","Amazonas",2021-03-21,"2021-W11-7",7.05928996215534,4.41691881811004,1538.67729008465,1.59823855788591,1.59823855788591
"65","Amazonas",2021-03-28,"2021-W12-7",14.0753701211306,4.56430482894823,1539.21206644191,3.08379274580002,3.08379274580002
"66","Amazonas",2021-04-04,"2021-W13-7",14.0691678246102,4.73168074463187,1539.74804050101,2.97339752699329,2.97339752699329
"67","Amazonas",2021-04-11,"2021-W14-7",6.02500347270454,4.891604082923,1540.28522508223,1.23170301000818,1.23170301000818
"68","Amazonas",2021-04-18,"2021-W15-7",11.0483372921615,5.01264607022589,1540.82363300588,2.20409283587493,2.20409283587493
"69","Amazonas",2021-04-25,"2021-W16-7",8.0282749971497,5.06112971364603,1541.36327709225,1.58626145769462,1.58626145769462
"70","Amazonas",2021-05-02,"2021-W17-7",2.00729178534807,5.00534153261118,1541.90417016161,0.401029934175322,0.401029934175322
"71","Amazonas",2021-05-09,"2021-W18-7",7.02920613441588,4.84458713692376,1542.44632503427,1.45094018040087,1.45094018040087
"72","Amazonas",2021-05-16,"2021-W19-7",6.02610150585611,4.61521897629603,1542.98975453052,1.3057021859215,1.3057021859215
"73","Amazonas",2021-05-23,"2021-W20-7",8.03896391410228,4.35417749494054,1543.53447147065,1.84626463285968,1.84626463285968
"74","Amazonas",2021-05-30,"2021-W21-7",3.01617076326003,4.09320990018758,1544.08048867495,0.736871755128366,0.736871755128366
"75","Amazonas",2021-06-06,"2021-W22-7",9.03773777868685,3.85771380571152,1544.6278189637,2.3427704163295,2.3427704163295
"76","Amazonas",2021-06-13,"2021-W23-7",4.02063492063492,3.66433288357884,1545.17647515722,1.09723517168781,1.09723517168781
"77","Amazonas",2021-06-20,"2021-W24-7",4.01875598086124,3.51979122072059,1545.72647007577,1.14175976040946,1.14175976040946
"78","Amazonas",2021-06-27,"2021-W25-7",6.02460658082976,3.42958391310991,1546.27781653966,1.7566581642164,1.7566581642164
"79","Amazonas",2021-07-04,"2021-W26-7",6.03794881774837,3.40027455716457,1546.83052736918,1.7757239058905,1.7757239058905
"80","Amazonas",2021-07-11,"2021-W27-7",1.00438413361169,3.44096327767632,1547.38461538462,0.291890395962014,0.291890395962014
