Country,Region,Date,new_Cases,new_Deaths,Period,IsoCode
Argentina,All,2020-04-30,4503,255,2020_Q1,AR
Argentina,All,2020-08-30,418049,12534,2020_Q2,AR
Argentina,All,2020-12-31,1211215,31786,2020_Q3,AR
Argentina,All,2021-04-30,1373722,22163,2021_Q1,AR
Argentina,Buenos Aires,2020-04-30,1590,119,2020_Q1,AR-B
Argentina,Buenos Aires,2020-08-30,260867,7995,2020_Q2,AR-B
Argentina,Buenos Aires,2020-12-31,420416,13838,2020_Q3,AR-B
Argentina,Buenos Aires,2021-04-30,624349,11862,2021_Q1,AR-B
Argentina,CABA,2020-04-30,1146,72,2020_Q1,AR-C
Argentina,CABA,2020-08-30,93381,3010,2020_Q2,AR-C
Argentina,CABA,2020-12-31,77075,2227,2020_Q3,AR-C
Argentina,CABA,2021-04-30,167966,2275,2021_Q1,AR-C
Argentina,Catamarca,2020-04-30,1,0,2020_Q1,AR-K
Argentina,Catamarca,2020-08-30,66,0,2020_Q2,AR-K
Argentina,Catamarca,2020-12-31,3005,20,2020_Q3,AR-K
Argentina,Catamarca,2021-04-30,12297,102,2021_Q1,AR-K
Argentina,Chaco,2020-04-30,307,14,2020_Q1,AR-H
Argentina,Chaco,2020-08-30,5095,199,2020_Q2,AR-H
Argentina,Chaco,2020-12-31,19760,488,2020_Q3,AR-H
Argentina,Chaco,2021-04-30,20021,335,2021_Q1,AR-H
Argentina,Chubut,2020-04-30,13,0,2020_Q1,AR-U
Argentina,Chubut,2020-08-30,994,8,2020_Q2,AR-U
Argentina,Chubut,2020-12-31,33178,578,2020_Q3,AR-U
Argentina,Chubut,2021-04-30,20713,398,2021_Q1,AR-U
Argentina,Córdoba,2020-04-30,298,13,2020_Q1,AR-X
Argentina,Córdoba,2020-08-30,8298,116,2020_Q2,AR-X
Argentina,Córdoba,2020-12-31,119576,2388,2020_Q3,AR-X
Argentina,Córdoba,2021-04-30,101357,878,2021_Q1,AR-X
Argentina,Corrientes,2020-04-30,80,1,2020_Q1,AR-W
Argentina,Corrientes,2020-08-30,415,3,2020_Q2,AR-W
Argentina,Corrientes,2020-12-31,13494,263,2020_Q3,AR-W
Argentina,Corrientes,2021-04-30,27341,329,2021_Q1,AR-W
Argentina,Entre Ríos,2020-04-30,24,0,2020_Q1,AR-E
Argentina,Entre Ríos,2020-08-30,3243,65,2020_Q2,AR-E
Argentina,Entre Ríos,2020-12-31,29157,669,2020_Q3,AR-E
Argentina,Entre Ríos,2021-04-30,33188,449,2021_Q1,AR-E
Argentina,Formosa,2020-04-30,0,0,2020_Q1,AR-P
Argentina,Formosa,2020-08-30,82,1,2020_Q2,AR-P
Argentina,Formosa,2020-12-31,144,1,2020_Q3,AR-P
Argentina,Formosa,2021-04-30,5841,137,2021_Q1,AR-P
Argentina,Jujuy,2020-04-30,5,0,2020_Q1,AR-Y
Argentina,Jujuy,2020-08-30,8810,337,2020_Q2,AR-Y
Argentina,Jujuy,2020-12-31,9634,539,2020_Q3,AR-Y
Argentina,Jujuy,2021-04-30,6298,159,2021_Q1,AR-Y
Argentina,La Pampa,2020-04-30,6,0,2020_Q1,AR-L
Argentina,La Pampa,2020-08-30,198,1,2020_Q2,AR-L
Argentina,La Pampa,2020-12-31,10931,157,2020_Q3,AR-L
Argentina,La Pampa,2021-04-30,16511,251,2021_Q1,AR-L
Argentina,La Rioja,2020-04-30,59,6,2020_Q1,AR-F
Argentina,La Rioja,2020-08-30,1950,76,2020_Q2,AR-F
Argentina,La Rioja,2020-12-31,7133,324,2020_Q3,AR-F
Argentina,La Rioja,2021-04-30,4592,68,2021_Q1,AR-F
Argentina,Mendoza,2020-04-30,86,10,2020_Q1,AR-M
Argentina,Mendoza,2020-08-30,7050,211,2020_Q2,AR-M
Argentina,Mendoza,2020-12-31,53280,1485,2020_Q3,AR-M
Argentina,Mendoza,2021-04-30,38420,635,2021_Q1,AR-M
Argentina,Misiones,2020-04-30,11,1,2020_Q1,AR-N
Argentina,Misiones,2020-08-30,35,3,2020_Q2,AR-N
Argentina,Misiones,2020-12-31,1051,17,2020_Q3,AR-N
Argentina,Misiones,2021-04-30,14524,252,2021_Q1,AR-N
Argentina,Neuquén,2020-04-30,127,5,2020_Q1,AR-Q
Argentina,Neuquén,2020-08-30,3000,46,2020_Q2,AR-Q
Argentina,Neuquén,2020-12-31,39251,838,2020_Q3,AR-Q
Argentina,Neuquén,2021-04-30,29120,450,2021_Q1,AR-Q
Argentina,Río Negro,2020-04-30,238,8,2020_Q1,AR-R
Argentina,Río Negro,2020-08-30,5882,169,2020_Q2,AR-R
Argentina,Río Negro,2020-12-31,33298,760,2020_Q3,AR-R
Argentina,Río Negro,2021-04-30,22749,453,2021_Q1,AR-R
Argentina,Salta,2020-04-30,4,0,2020_Q1,AR-A
