country,div,code
Brazil,Acre,BR-AC
Brazil,Alagoas,BR-AL
Brazil,Total,BR
Brazil,Amapa,BR-AP
Brazil,Amazonas,BR-AM
Brazil,Bahia,BR-BA
Brazil,Ceara,BR-CE
Brazil,Distrito Federal,BR-DF
Brazil,Espirito Santo,BR-ES
Brazil,Goias,BR-GO
Brazil,Maranhao,BR-MA
Brazil,Mato Grosso,BR-MT
Brazil,Mato Grosso do Sul,BR-MS
Brazil,Minas Gerais,BR-MG
Brazil,Para,BR-PA
Brazil,Paraiba,BR-PB
Brazil,Parana,BR-PR
Brazil,Pernambuco,BR-PE
Brazil,Piaui,BR-PI
Brazil,Rio de Janeiro,BR-RJ
Brazil,Rio Grande do Norte,BR-RN
Brazil,Rio Grande do Sul,BR-RS
Brazil,Rondania,BR-RO
Brazil,Roraima,BR-RR
Brazil,Santa Catarina,BR-SC
Brazil,Sao Paulo,BR-SP
Brazil,Sergipe,BR-SE
Brazil,Tocantins,BR-TO
Colombia,Amazonas,CO-AMA
Colombia,Antioquia,CO-ANT
Colombia,Arauca,CO-ARA
Colombia,Atlantico,CO-ATL
Colombia,Bogota,CO-DC
Colombia,Bolivar,CO-BOL
Colombia,Boyaca,CO-BOY
Colombia,Caldas,CO-CAL
Colombia,Caqueta,CO-CAQ
Colombia,Casanare,CO-CAS
Colombia,Cauca,CO-CAU
Colombia,Cesar,CO-CES
Colombia,Choco,CO-CHO
Colombia,Cordoba,CO-COR
Colombia,Cundinamarca,CO-CUN
Colombia,Guainia,CO-GUA
Colombia,Guajira,CO-LAG
Colombia,Guaviare,CO-GUV
Colombia,Huila,CO-HUI
Colombia,Magdalena,CO-MAG
Colombia,Meta,CO-MET
Colombia,NariÃ±o,CO-UNK+
Colombia,Norte Santander,CO-NSA
Colombia,Putumayo,CO-PUT
Colombia,Quindio,CO-QUI
Colombia,Risaralda,CO-RIS
Colombia,San Andres,CO-SAP
Colombia,Santander,CO-SAN
Colombia,Sucre,CO-SUC
Colombia,Tolima,CO-TOL
Colombia,Valle,CO-VAC
Colombia,Vaupes,CO-VAU
Colombia,Vichada,CO-VID
Colombia,Total,CO
Mexico,Aguascalientes,MX-AGU
Mexico,Baja California,MX-BCN
Mexico,Baja California Sur,MX-BCS
Mexico,Campeche,MX-CAM
Mexico,Chiapas,MX-CHP
Mexico,Chihuahua,MX-CHH
Mexico,Ciudad de Mexico,MX-CMXC?
Mexico,Coahuila,MX-COA
Mexico,Colima,MX-COL
Mexico,Durango,MX-DUR
Mexico,Guanajuato,MX-GUA
Mexico,Guerrero,MX-GRO
Mexico,Hidalgo,MX-HID
Mexico,Jalisco,MX-JAL
Mexico,Mexico,MX-MEX
Mexico,Michoacan,MX-MIC
Mexico,Morelos,MX-MOR
Mexico,Nayarit,MX-NAY
Mexico,Nuevo León,MX-NLE
Mexico,Oaxaca,MX-OAX
Mexico,Puebla,MX-PUE
Mexico,Querétaro,MX-QUE
Mexico,Quintana Roo,MX-ROO
Mexico,San Luis Potosi,MX-SLP
Mexico,Sinaloa,MX-SIN
Mexico,Sonora,MX-SON
Mexico,Tabasco,MX-TAB
Mexico,Tamaulipas,MX-TAM
Mexico,Tlaxcala,MX-TLA
Mexico,Veracruz,MX-VER
Mexico,Yucatan,MX-YUC
Mexico,Zacatecas,MX-ZAC
Mexico,Total,MX
