country,geo,code,date,year,month,dts,pop,bsn,pscore
Brazil,Acre,BR-AC,2020-01-01,2020,1,379.42857142857144,866468.5050644106,362.61056244386225,1.046380361540938
Brazil,Acre,BR-AC,2020-02-01,2020,2,336.2857142857143,866468.5050644106,326.61252926050184,1.0296166991729128
Brazil,Acre,BR-AC,2020-03-01,2020,3,365.7142857142857,866468.5050644106,362.88597555487314,1.0077939362497763
Brazil,Acre,BR-AC,2020-04-01,2020,4,362.8571428571429,866468.5050644106,345.0234369372148,1.0516883898619716
Brazil,Acre,BR-AC,2020-05-01,2020,5,559,866468.5050644106,376.83154229553816,1.4834214689002663
Brazil,Acre,BR-AC,2020-06-01,2020,6,558.2857142857143,866468.5050644106,362.04437531102286,1.542036701457123
Brazil,Acre,BR-AC,2020-07-01,2020,7,469.14285714285717,866468.5050644106,371.3245616503329,1.2634307169387768
Brazil,Acre,BR-AC,2020-08-01,2020,8,402.57142857142856,866468.5050644106,362.9943874781995,1.1090293471702946
Brazil,Acre,BR-AC,2020-09-01,2020,9,354.14285714285717,866468.5050644106,344.8322311934245,1.027000451544827
Brazil,Acre,BR-AC,2020-10-01,2020,10,341.57142857142856,866468.5050644106,317.7466736594495,1.0749803440507881
Brazil,Acre,BR-AC,2020-11-01,2020,11,373.42857142857144,866468.5050644106,349.6191556094113,1.068101004871025
Brazil,Acre,BR-AC,2020-12-01,2020,12,453.85714285714283,866468.5050644106,376.6617591858985,1.2049461666565018
Brazil,Acre,BR-AC,2021-01-01,2021,1,484,878101.1853009473,381.4043030912946,1.2689945972742411
Brazil,Acre,BR-AC,2021-02-01,2021,2,612,878101.1853009473,349.3285302151296,1.7519324849393418
Brazil,Acre,BR-AC,2021-03-01,2021,3,873.8571428571429,878101.1853009473,390.7859290314323,2.236153039140914
Brazil,Acre,BR-AC,2021-04-01,2021,4,639.7142857142857,878101.1853009473,379.7206525636659,1.6846971092967558
Brazil,Acre,BR-AC,2021-05-01,2021,5,430,878101.1853009473,382.06557159979627,1.1254612610068246
Brazil,Acre,BR-AC,2021-06-01,2021,6,381.14285714285717,878101.1853009473,368.8653506600577,1.0332845209256705
Brazil,Acre,BR-AC,2021-07-01,2021,7,402,878101.1853009473,379.7902873824232,1.0584788852043843
Brazil,Acre,BR-AC,2021-08-01,2021,8,378.14285714285717,878101.1853009473,361.78592716215167,1.045211625861208
Brazil,Acre,BR-AC,2021-09-01,2021,9,324.14285714285717,878101.1853009473,321.4251753170936,1.0084550994584744
Brazil,Acre,BR-AC,2021-10-01,2021,10,373,878101.1853009473,361.768368870847,1.0310464708791685
Brazil,Acre,BR-AC,2021-11-01,2021,11,258.42857142857144,878101.1853009473,258.42857142857144,1
Brazil,Acre,BR-AC,2021-12-01,2021,12,72.57142857142857,878101.1853009473,72.57142857142857,1
